iter	MultiClass
124	5.007177697
125	5.006373391
126	5.005671076
127	5.005374256
128	5.004531189
129	5.00334332
130	5.002486482
131	5.001630059
132	5.000925698
133	5.000016731
134	4.99926299
135	4.998400308
136	4.998018124
137	4.9970523
138	4.995917543
139	4.99493937
140	4.994576501
141	4.99368094
142	4.992842158
143	4.992318772
144	4.991604575
145	4.990929104
146	4.990255591
147	4.989360424
148	4.988440857
149	4.987771416
150	4.987324529
151	4.986764868
152	4.986543283
153	4.986028884
154	4.985297913
155	4.984831819
156	4.984510762
157	4.98365403
158	4.982878972
159	4.981969682
160	4.98149019
161	4.980378487
162	4.979552372
163	4.978989038
164	4.97833356
165	4.977792277
166	4.977025173
167	4.976222842
168	4.975727583
169	4.975035911
170	4.974221498
171	4.973678563
172	4.972758107
173	4.971898058
174	4.971374104
175	4.970655495
176	4.97019427
177	4.969715102
178	4.968831989
179	4.968105169
180	4.967628708
181	4.966886376
182	4.966714034
183	4.965942606
184	4.96523492
185	4.964831259
186	4.96443694
187	4.963774626
188	4.963612101
189	4.962818725
190	4.962197605
191	4.96184459
192	4.96136572
193	4.96074675
194	4.960153387
195	4.959376739
196	4.958929075
197	4.958438625
198	4.95806951
199	4.957584687
200	4.956817256
201	4.956014392
202	4.955002692
203	4.954405383
204	4.953861399
205	4.953659208
206	4.953346264
207	4.952766818
208	4.952169433
209	4.951780582
210	4.95111866
211	4.950636136
212	4.949827802
213	4.949386801
214	4.948722726
215	4.948052175
216	4.94774907
217	4.947226796
218	4.946612232
219	4.946150278
220	4.945871532
221	4.945436126
222	4.94491351
223	4.944448628
224	4.944070856
225	4.943411776
226	4.942985746
227	4.942554286
228	4.941832501
229	4.941200441
230	4.940445645
231	4.939990874
232	4.939566667
233	4.939139979
234	4.938696499
235	4.938295807
236	4.937926942
237	4.937127383
238	4.936842652
239	4.936510116
240	4.936066474
241	4.935653219
242	4.935087708
243	4.934841538
244	4.934311244
245	4.933905208
246	4.933382955
247	4.932874388
248	4.932434925
249	4.931876339
250	4.931573857
251	4.931063043
252	4.93064652
253	4.930221273
254	4.929692531
255	4.929349348
256	4.9286885
257	4.928312433
258	4.928107248
259	4.927665511
260	4.927378857
261	4.926879146
262	4.926532367
263	4.926335493
264	4.926041479
265	4.925597735
266	4.92484878
267	4.924388215
268	4.924066901
269	4.923559888
270	4.923100237
271	4.922617775
272	4.922302601
273	4.921962847
274	4.921374574
275	4.920818165
276	4.920347381
277	4.920019866
278	4.919781483
279	4.919632019
280	4.919264092
281	4.918966392
282	4.918435763
283	4.917929988
284	4.917472424
285	4.916996623
286	4.916783284
287	4.916534982
288	4.916168349
289	4.915852114
290	4.91542145
291	4.914937156
292	4.914435573
293	4.914141079
294	4.913844859
295	4.913390439
296	4.913112944
297	4.912635649
298	4.912274724
299	4.912012917
300	4.911469502
301	4.911123081
302	4.910788033
303	4.910098965
304	4.909756878
305	4.909484748
306	4.909232571
307	4.908615755
308	4.908110486
309	4.907701805
310	4.907396225
311	4.907047608
312	4.906718052
313	4.9063545
314	4.906068222
315	4.905728883
316	4.905362435
317	4.904969976
318	4.90476479
319	4.904354168
320	4.903878591
321	4.903633029
322	4.903224731
323	4.903030582
324	4.902809035
325	4.902604207
326	4.902376754
327	4.901950941
328	4.90155028
329	4.901042616
330	4.90070844
331	4.90031471
332	4.900008772
333	4.8997191
334	4.899433346
335	4.899182725
336	4.898698074
337	4.898299344
338	4.898111373
339	4.89781201
340	4.897658668
341	4.897339203
342	4.896948287
343	4.896698747
344	4.89645861
345	4.896178013
346	4.895869909
347	4.895703943
348	4.895335723
349	4.8949667
350	4.894611203
351	4.8942426
352	4.894156431
353	4.893925484
354	4.893683042
355	4.893466116
356	4.893236304
357	4.893009545
358	4.892826273
359	4.892575967
360	4.89233985
361	4.892084982
362	4.891934395
363	4.891609076
364	4.891210095
365	4.891032347
366	4.890685598
367	4.890464354
368	4.890077716
369	4.889609519
370	4.889451695
371	4.889133826
372	4.888795814
373	4.888627961
374	4.888385518
375	4.88829309
376	4.888099519
377	4.887742952
378	4.887465765
379	4.887228983
380	4.886969296
381	4.886618548
382	4.886352154
383	4.886156779
384	4.885801484
385	4.885519176
386	4.885157172
387	4.884925986
388	4.884737581
389	4.88449919
390	4.884296748
391	4.884000673
392	4.883707202
393	4.883463502
394	4.883142319
395	4.882953065
396	4.882646744
397	4.882432067
398	4.882210121
399	4.881869875
400	4.881649945
401	4.881448666
402	4.881273416
403	4.880967388
404	4.880886904
405	4.880793567
406	4.880596618
407	4.880445887
408	4.880226685
409	4.880070305
410	4.879916688
411	4.879777655
412	4.879374811
413	4.879152993
414	4.87898558
415	4.878708633
416	4.878473663
417	4.878210091
418	4.878002079
419	4.877831709
420	4.877695422
421	4.877471147
422	4.877307328
423	4.87711791
424	4.876964789
425	4.87676944
426	4.876616922
427	4.876467866
428	4.876398256
429	4.876160328
430	4.876082787
431	4.875924001
432	4.875677902
433	4.875481094
434	4.875337369
435	4.875197299
436	4.875078411
437	4.874940114
438	4.874829488
439	4.874702422
440	4.874539336
441	4.874349117
442	4.874115988
443	4.874070795
444	4.873961453
445	4.873797018
446	4.873629163
447	4.87349084
448	4.873368437
449	4.873251016
450	4.873146135
451	4.872885865
452	4.8726883
453	4.872467723
454	4.87234637
455	4.872120693
456	4.87191484
457	4.87174415
458	4.871561406
459	4.871358498
460	4.871153428
461	4.870945421
462	4.870824351
463	4.870518701
464	4.870344449
465	4.870143953
466	4.869931765
467	4.86956667
468	4.869390901
469	4.869110054
470	4.86888747
471	4.868765534
472	4.868653494
473	4.868459263
474	4.868277503
475	4.868053554
476	4.867889572
477	4.867773791
478	4.867581502
479	4.86743669
480	4.867197209
481	4.867031606
482	4.866840078
483	4.866738109
484	4.866604091
485	4.866436114
486	4.866303815
487	4.866040763
488	4.865756918
489	4.865550109
490	4.865393855
491	4.865290609
492	4.865109124
493	4.864977922
494	4.864805146
495	4.864686837
496	4.864499338
497	4.864355336
498	4.864229273
499	4.86411897
500	4.863925169
501	4.863783747
502	4.863633415
503	4.863440653
504	4.863363474
505	4.863095222
506	4.862838332
507	4.862643338
508	4.862484128
509	4.862262323
510	4.862165127
511	4.862023102
512	4.861895066
513	4.861702531
514	4.861568897
515	4.861407542
516	4.861237718
517	4.861127503
518	4.860962231
519	4.860823286
520	4.860647332
521	4.860487842
522	4.860342013
523	4.86023895
524	4.860104062
525	4.859851932
526	4.859679239
527	4.859566537
528	4.859304156
529	4.859204062
530	4.859051055
531	4.85891049
532	4.858690973
533	4.858540952
534	4.8583773
535	4.858235848
536	4.858025262
537	4.857930091
538	4.857796042
539	4.857684623
540	4.857511433
541	4.857371022
542	4.857229959
543	4.857119814
544	4.856858196
545	4.85671581
546	4.85656508
547	4.856440592
548	4.856346892
549	4.856179471
550	4.855938625
551	4.855838784
552	4.855628642
553	4.855578798
554	4.855478346
555	4.855419775
556	4.855262268
557	4.855218835
558	4.855084262
559	4.854977337
560	4.854866063
561	4.854778073
562	4.854668082
563	4.854539441
564	4.854337739
565	4.854136844
566	4.8539703
567	4.853767031
568	4.853621894
569	4.853515699
570	4.853286446
571	4.853164401
572	4.853048456
573	4.852870343
574	4.852721262
575	4.852543078
576	4.852366028
577	4.852212908
578	4.852104923
579	4.851977521
580	4.851921853
581	4.85178547
582	4.851624832
583	4.851496664
584	4.851360095
585	4.851278061
586	4.851144679
587	4.851020762
588	4.850941435
589	4.850796864
590	4.850688628
591	4.850558279
592	4.850360019
593	4.850215676
594	4.850015188
595	4.849881032
596	4.849778168
597	4.849620699
598	4.849535642
599	4.849426924
600	4.849359438
601	4.849248252
602	4.849007802
603	4.848863312
604	4.848765744
605	4.848597972
606	4.84838127
607	4.848124159
608	4.848010162
609	4.84791924
610	4.847757106
611	4.847588812
612	4.847366078
613	4.847258792
614	4.84714672
615	4.846950469
616	4.84683237
617	4.846732377
618	4.846617265
619	4.846513883
620	4.846310814
621	4.846246459
622	4.846080275
623	4.845802833
624	4.845663844
625	4.845508459
626	4.845315609
627	4.84511616
628	4.844900105
629	4.844765779
630	4.8446383
631	4.844492244
632	4.844394395
633	4.844335445
634	4.844180045
635	4.844054053
636	4.843956617
637	4.843709717
638	4.843612029
639	4.843480258
640	4.843431345
641	4.843247055
642	4.843160827
643	4.843047569
644	4.842952777
645	4.842878998
646	4.842775496
647	4.842703883
648	4.84256522
649	4.842372876
650	4.842169978
651	4.842081668
652	4.841878719
653	4.841694383
654	4.841606507
655	4.841401408
656	4.841203561
657	4.84112642
658	4.840961142
659	4.840821884
660	4.840731903
661	4.840637602
662	4.840536001
663	4.840421888
664	4.84021339
665	4.840092454
666	4.839923234
667	4.83985897
668	4.839680175
669	4.839574213
670	4.839488328
671	4.839383198
672	4.839299508
673	4.838908373
674	4.838785705
675	4.838523769
676	4.838339614
677	4.838217674
678	4.838162276
679	4.837970938
680	4.837875847
681	4.837748307
682	4.837539147
683	4.837465164
684	4.837372153
685	4.837282592
686	4.837161663
687	4.83706114
688	4.836996186
689	4.836883778
690	4.836790306
691	4.836669042
692	4.836540938
693	4.836402972
694	4.836290437
695	4.836196635
696	4.836037049
697	4.835934771
698	4.835831383
699	4.835664412
700	4.835547823
701	4.835466464
702	4.83522292
703	4.83505545
704	4.834951007
705	4.834796091
706	4.834658175
707	4.834521905
708	4.834433393
709	4.834292635
710	4.834230203
711	4.834046963
712	4.833806721
713	4.833728854
714	4.833591873
715	4.833420483
716	4.833341426
717	4.833259087
718	4.833130685
719	4.832974599
720	4.832898276
721	4.832833996
722	4.832735344
723	4.832566091
724	4.832424063
725	4.832324692
726	4.832158494
727	4.832020215
728	4.831895461
729	4.831713731
730	4.831577254
731	4.8315179
732	4.831429779
733	4.831204488
734	4.830936502
735	4.830793462
736	4.8306291
737	4.830561869
738	4.830448217
739	4.830290786
740	4.83019066
741	4.830009634
742	4.829879652
743	4.829835216
744	4.829683587
745	4.829556654
746	4.829453957
747	4.829348048
748	4.82923857
749	4.829098961
750	4.829014829
751	4.828888306
752	4.82881228
753	4.82865892
754	4.828531643
755	4.828470131
756	4.828385152
757	4.828252565
758	4.828140934
759	4.828014162
760	4.827907521
761	4.827873891
762	4.827794577
763	4.827672159
764	4.827590694
765	4.827477907
766	4.827388699
767	4.827279441
768	4.827164608
769	4.827083049
770	4.826988725
771	4.826915551
772	4.826817134
773	4.826651025
774	4.82656042
775	4.826442022
776	4.826330729
777	4.82622425
778	4.82610469
779	4.826007577
780	4.825877381
781	4.82580539
782	4.825671311
783	4.825604113
784	4.825490462
785	4.825334893
786	4.825231368
787	4.825084159
788	4.825042227
789	4.824980036
790	4.824846018
791	4.824713027
792	4.824616186
793	4.824475479
794	4.824337326
795	4.824233097
796	4.824146435
797	4.824074049
798	4.823909483
799	4.823819971
800	4.823716928
801	4.823626603
802	4.823544966
803	4.823456464
804	4.823381093
805	4.823312834
806	4.823171226
807	4.823041102
808	4.822924562
809	4.822846019
810	4.822691133
811	4.82256451
812	4.822382109
813	4.822267252
814	4.822131631
815	4.822066292
816	4.821963372
817	4.821875891
818	4.821785106
819	4.821720493
820	4.821628303
821	4.821460666
822	4.821414511
823	4.821317894
824	4.821223717
825	4.821094603
826	4.820990204
827	4.820843338
828	4.82067516
829	4.820605486
830	4.820528812
831	4.820306044
832	4.820223323
833	4.82016986
834	4.820051191
835	4.819996463
836	4.819976114
837	4.819914519
838	4.819794853
839	4.819667306
840	4.819554834
841	4.819473878
842	4.819328956
843	4.819232691
844	4.819111598
845	4.818950161
846	4.818877893
847	4.818668203
848	4.818326747
849	4.818253014
850	4.818189693
851	4.818038081
852	4.817954962
853	4.817865203
854	4.817801379
855	4.817700775
856	4.817637769
857	4.817569748
858	4.817506104
859	4.817359573
860	4.817216784
861	4.817125994
862	4.81698806
863	4.816906071
864	4.816849601
865	4.816737878
866	4.816634702
867	4.816527666
868	4.81643777
869	4.81624545
870	4.816174332
871	4.816131201
872	4.816028139
873	4.815948495
874	4.815831669
875	4.815724596
876	4.815554298
877	4.815495536
878	4.815418459
879	4.815366994
880	4.815242504
881	4.815185816
882	4.815019548
883	4.814917731
884	4.814769359
885	4.814490056
886	4.814370063
887	4.81428005
888	4.814096226
889	4.813939372
890	4.813808702
891	4.813531926
892	4.813446471
893	4.813420632
894	4.813325306
895	4.813235457
896	4.81298388
897	4.812915095
898	4.812803329
899	4.812712681
900	4.812659272
901	4.812516093
902	4.812425325
903	4.812367345
904	4.812281106
905	4.812148578
906	4.81201377
907	4.811931569
908	4.811877971
909	4.811736153
910	4.811623212
911	4.811481801
912	4.811255962
913	4.811111399
914	4.810878068
915	4.810681897
916	4.810616358
917	4.810512301
918	4.810398457
919	4.810304892
920	4.81012141
921	4.810039203
922	4.809964153
923	4.809769906
924	4.809745616
925	4.80968819
926	4.809556441
927	4.809444138
928	4.809349925
929	4.809260081
930	4.809103965
931	4.809013421
932	4.8088592
933	4.808812899
934	4.808618544
935	4.808532951
936	4.808461802
937	4.80832152
938	4.808217646
939	4.808128426
940	4.808011539
941	4.807852486
942	4.807803386
943	4.807725271
944	4.807688477
945	4.80758081
946	4.807487483
947	4.807375643
948	4.807296683
949	4.807214596
950	4.807068828
951	4.806971119
952	4.806869268
953	4.806817157
954	4.806589681
955	4.80651249
956	4.806406751
957	4.80627408
958	4.806169944
959	4.806077473
960	4.805993755
961	4.805859618
962	4.805730485
963	4.805618786
964	4.805521122
965	4.805423382
966	4.805309325
967	4.805201448
968	4.805113352
969	4.805040128
970	4.804934315
971	4.804851558
972	4.804791391
973	4.804728991
974	4.804595188
975	4.804541863
976	4.804450306
977	4.80436206
978	4.804342489
979	4.804196615
980	4.804130043
981	4.804071312
982	4.803981736
983	4.803935341
984	4.803864822
985	4.803738873
986	4.803660889
987	4.803586914
988	4.803467875
989	4.803333018
990	4.803229426
991	4.803131877
992	4.803068576
993	4.803020296
994	4.802961693
995	4.802904903
996	4.802806661
997	4.802661348
998	4.802587404
999	4.80250509
1000	4.802320394
1001	4.802212213
1002	4.80215109
1003	4.802093399
1004	4.8019578
1005	4.801892633
1006	4.801787144
1007	4.801727701
1008	4.801647185
1009	4.801561037
1010	4.8013301
1011	4.801240441
1012	4.801180975
1013	4.80105639
1014	4.8009894
1015	4.800918548
1016	4.800823361
1017	4.800753497
1018	4.800697723
1019	4.800589868
1020	4.800463356
1021	4.800399593
1022	4.800176931
1023	4.800107849
1024	4.800060243
1025	4.799995187
1026	4.799829634
1027	4.799736632
1028	4.799670441
1029	4.799616533
1030	4.79953075
1031	4.79940324
1032	4.799282658
1033	4.799111151
1034	4.798997426
1035	4.798873805
1036	4.798802477
1037	4.798728523
1038	4.798651477
1039	4.798493907
1040	4.798392657
1041	4.798311655
1042	4.798118019
1043	4.798027381
1044	4.797960352
1045	4.797875135
1046	4.797793215
1047	4.797724714
1048	4.797657426
1049	4.79759193
1050	4.797503951
1051	4.797371165
1052	4.797152504
1053	4.797121065
1054	4.796724321
1055	4.796643518
1056	4.796501889
1057	4.796437176
1058	4.796366049
1059	4.79623785
1060	4.796163483
1061	4.796125123
1062	4.796006163
1063	4.795883818
1064	4.795823423
1065	4.795602703
1066	4.795517746
1067	4.795341116
1068	4.795244915
1069	4.795220294
1070	4.795124425
1071	4.795023251
1072	4.794963867
1073	4.794851827
1074	4.794738187
1075	4.794624621
1076	4.794550081
1077	4.794481741
1078	4.794428042
1079	4.794355684
1080	4.794275909
1081	4.794244223
1082	4.794183964
1083	4.794066119
1084	4.794023059
1085	4.793957397
1086	4.793861891
1087	4.793756019
1088	4.793692583
1089	4.793591535
1090	4.793464749
1091	4.793360166
1092	4.793254572
1093	4.793199408
1094	4.793158849
1095	4.792961974
1096	4.792863443
1097	4.792803002
1098	4.792756428
1099	4.792645592
1100	4.792552951
1101	4.792501884
1102	4.792333311
1103	4.792217837
1104	4.792158498
1105	4.792061149
1106	4.791996793
1107	4.791952455
1108	4.791915332
1109	4.791897873
1110	4.79172931
1111	4.791650965
1112	4.79158199
1113	4.79143856
1114	4.791327258
1115	4.79116109
1116	4.791038477
1117	4.790920477
1118	4.790824939
1119	4.790700131
1120	4.790675853
1121	4.790614821
1122	4.79057591
1123	4.790523121
1124	4.790373576
1125	4.79029277
1126	4.790170364
1127	4.790119017
1128	4.790045771
1129	4.789998441
1130	4.789941615
1131	4.789890806
1132	4.78981332
1133	4.789634436
1134	4.789531248
1135	4.789469767
1136	4.789387095
1137	4.789320227
1138	4.789233021
1139	4.789165533
1140	4.789118062
1141	4.788970001
1142	4.788919215
1143	4.788815473
1144	4.788781216
1145	4.788720407
1146	4.788656315
1147	4.788575147
1148	4.788502931
1149	4.788393508
1150	4.788301635
1151	4.788275546
1152	4.788222307
1153	4.788055755
1154	4.787988837
1155	4.787877015
1156	4.787798427
1157	4.78773452
1158	4.787559486
1159	4.787510027
1160	4.787439663
1161	4.78736632
1162	4.787271872
1163	4.787178398
1164	4.787124853
1165	4.787048459
1166	4.786990525
1167	4.78691691
1168	4.786872478
1169	4.786706038
1170	4.786669003
1171	4.786494598
1172	4.786436557
1173	4.786383502
1174	4.786321041
1175	4.78626433
1176	4.786149155
1177	4.786059184
1178	4.785893011
1179	4.78575033
1180	4.785684194
1181	4.785511593
1182	4.785460539
1183	4.785398237
1184	4.785319832
1185	4.785219397
1186	4.78514552
1187	4.785016183
1188	4.784902164
1189	4.784781939
1190	4.784736804
1191	4.784649112
1192	4.784595111
1193	4.78452575
1194	4.784411514
1195	4.78429437
1196	4.784247241
1197	4.784188515
1198	4.784128171
1199	4.784084545
1200	4.784015156
1201	4.783885562
1202	4.783831653
1203	4.783803687
1204	4.783726146
1205	4.783637742
1206	4.783573327
1207	4.783496967
1208	4.783407855
1209	4.783333195
1210	4.78322725
1211	4.783174459
1212	4.783069221
1213	4.782956926
1214	4.782868433
1215	4.782832897
1216	4.782735697
1217	4.782643582
1218	4.782567094
1219	4.782464447
1220	4.782405456
1221	4.782290445
1222	4.782226854
1223	4.782176726
1224	4.782136727
1225	4.782089837
1226	4.781806468
1227	4.781719478
1228	4.781648142
1229	4.781607503
1230	4.781509145
1231	4.781441096
1232	4.781348262
1233	4.781276782
1234	4.781198627
1235	4.781142786
1236	4.781069851
1237	4.780998023
1238	4.780906412
1239	4.780819269
1240	4.780734485
1241	4.780610757
1242	4.780558748
1243	4.780456206
1244	4.78037388
1245	4.78027852
1246	4.78022273
1247	4.780075241
1248	4.78002335
1249	4.779969509
1250	4.779808972
1251	4.779528967
1252	4.779489547
1253	4.779372228
1254	4.779324038
1255	4.77921628
1256	4.779153558
1257	4.779089441
1258	4.779044156
1259	4.77899874
1260	4.778901128
1261	4.778801172
1262	4.778750549
1263	4.77863959
1264	4.778573093
1265	4.778462473
1266	4.778357301
1267	4.778265601
1268	4.778188704
1269	4.778144087
1270	4.778060419
1271	4.777958915
1272	4.777943455
1273	4.777886409
1274	4.777743195
1275	4.777669538
1276	4.777599347
1277	4.77752901
1278	4.77743514
1279	4.777260059
1280	4.777214588
1281	4.777154113
1282	4.777102232
1283	4.776998353
1284	4.776935932
1285	4.776910655
1286	4.776835468
1287	4.776693287
1288	4.776610245
1289	4.776478476
1290	4.776362656
1291	4.776249347
1292	4.776158266
1293	4.775909391
1294	4.775863655
1295	4.775784173
1296	4.775737187
1297	4.775676754
1298	4.775634143
1299	4.775413986
1300	4.775347555
1301	4.775308126
1302	4.775227313
1303	4.775085649
1304	4.775044745
1305	4.774972605
1306	4.774910856
1307	4.774853254
1308	4.774793311
1309	4.774701973
1310	4.774650708
1311	4.774584665
1312	4.774487439
1313	4.774354799
1314	4.774276287
1315	4.774165733
1316	4.774112712
1317	4.77407627
1318	4.774037582
1319	4.773947396
1320	4.773898893
1321	4.773724325
1322	4.773554343
1323	4.773424087
1324	4.773318383
1325	4.773264434
1326	4.773175745
1327	4.773117479
1328	4.773030796
1329	4.772933119
1330	4.772842048
1331	4.772793
1332	4.772727104
1333	4.772672816
1334	4.772603682
1335	4.772507713
1336	4.772419717
1337	4.772263766
1338	4.77219116
1339	4.772139163
1340	4.772013463
1341	4.771949221
1342	4.771843573
1343	4.771816211
1344	4.771726172
1345	4.771673657
1346	4.771632013
1347	4.771549015
1348	4.771482969
1349	4.771410314
1350	4.771368996
1351	4.771292327
1352	4.771242851
1353	4.771197879
1354	4.771153694
1355	4.77101435
1356	4.77092728
1357	4.770870295
1358	4.770799663
1359	4.770719258
1360	4.770659889
1361	4.770560804
1362	4.770490672
1363	4.770403381
1364	4.770349583
1365	4.770237018
1366	4.770205997
1367	4.770113202
1368	4.770040182
1369	4.769996104
1370	4.769943563
1371	4.769902481
1372	4.76980155
1373	4.769635808
1374	4.769561723
1375	4.769470002
1376	4.769304008
1377	4.76923458
1378	4.769127141
1379	4.769032442
1380	4.768931964
1381	4.768710078
1382	4.768603321
1383	4.768512663
1384	4.768331739
1385	4.768276727
1386	4.768185345
1387	4.768086886
1388	4.767969887
1389	4.767913722
1390	4.767848645
1391	4.767748805
1392	4.767664185
1393	4.767607178
1394	4.767567569
1395	4.767512844
1396	4.767469719
1397	4.767426675
1398	4.767380378
1399	4.767250537
1400	4.767169307
1401	4.767136217
1402	4.767097551
1403	4.767065457
1404	4.766948929
1405	4.766918316
1406	4.766806176
1407	4.766720842
1408	4.766676831
1409	4.766573948
1410	4.766488637
1411	4.766385511
1412	4.766320584
1413	4.766297157
1414	4.766210708
1415	4.766128205
1416	4.766073729
1417	4.766009005
1418	4.765965846
1419	4.765882624
1420	4.76577025
1421	4.765745046
1422	4.765650839
1423	4.765609073
1424	4.765567314
1425	4.765511715
1426	4.765472073
1427	4.765379414
1428	4.765341588
1429	4.765297928
1430	4.765251803
1431	4.765057578
1432	4.764763461
1433	4.764652356
1434	4.764608527
1435	4.764525768
1436	4.764480468
1437	4.76444216
1438	4.764375381
1439	4.764250253
1440	4.764148259
1441	4.764080984
1442	4.763994482
1443	4.763952863
1444	4.763901074
1445	4.763846214
1446	4.763690699
1447	4.763576475
1448	4.763553076
1449	4.763523602
1450	4.763465567
1451	4.763391979
1452	4.763353971
1453	4.763321061
1454	4.76311918
1455	4.763068015
1456	4.763015379
1457	4.762875079
1458	4.762848129
1459	4.762753913
1460	4.762713422
1461	4.762612601
1462	4.762554615
1463	4.762471729
1464	4.762385135
1465	4.762183731
1466	4.762086994
1467	4.762045461
1468	4.761962929
1469	4.761745633
1470	4.761689175
1471	4.761633908
1472	4.761567134
1473	4.761467762
1474	4.761405487
1475	4.761391383
1476	4.761350471
1477	4.761280538
1478	4.761192338
1479	4.761116636
1480	4.76102432
1481	4.760982651
1482	4.76089149
1483	4.76085593
1484	4.760779297
1485	4.760714637
1486	4.760650627
1487	4.760563834
1488	4.760422848
1489	4.760399441
1490	4.76032688
1491	4.760211584
1492	4.760189632
1493	4.760119874
1494	4.760058574
1495	4.75996635
1496	4.759941607
1497	4.759809697
1498	4.759712802
1499	4.759674871
1500	4.759552977
1501	4.75946744
1502	4.759247437
1503	4.759156417
1504	4.759092978
1505	4.759033187
1506	4.758926906
1507	4.758862431
1508	4.758790021
1509	4.758697408
1510	4.758647761
1511	4.75862638
1512	4.75857905
1513	4.758465713
1514	4.758380764
1515	4.758251168
1516	4.758207937
1517	4.758116183
1518	4.758039901
1519	4.757906189
1520	4.757820951
1521	4.75775058
1522	4.757717643
1523	4.757623579
1524	4.75753519
1525	4.757466491
1526	4.757428209
1527	4.757393158
1528	4.757347303
1529	4.757236414
1530	4.757205151
1531	4.757128875
1532	4.757039851
1533	4.756983281
1534	4.75693714
1535	4.756896709
1536	4.756829297
1537	4.756751419
1538	4.756721041
1539	4.756680867
1540	4.756635083
1541	4.756483193
1542	4.756442992
1543	4.756338948
1544	4.756221879
1545	4.756105586
1546	4.755965553
1547	4.755906202
1548	4.755844847
1549	4.755698256
1550	4.755652556
1551	4.755578801
1552	4.755536799
1553	4.755497286
1554	4.755430659
1555	4.755411208
1556	4.755312938
1557	4.755260174
1558	4.755224515
1559	4.755155229
1560	4.755080247
1561	4.755032293
1562	4.754990577
1563	4.754909472
1564	4.754857421
1565	4.754820458
1566	4.754671917
1567	4.754585411
1568	4.754527174
1569	4.75446619
1570	4.754418311
1571	4.754311757
1572	4.754255844
1573	4.754229294
1574	4.754001644
1575	4.753951772
1576	4.753909329
1577	4.753820514
1578	4.753749097
1579	4.753664007
1580	4.753597253
1581	4.753548236
1582	4.753524519
1583	4.753429472
1584	4.753359381
1585	4.753291843
1586	4.753233041
1587	4.753099787
1588	4.75305871
1589	4.753010924
1590	4.7529384
1591	4.752895085
1592	4.752797739
1593	4.752710764
1594	4.752621538
1595	4.752545477
1596	4.752473107
1597	4.75242514
1598	4.752358433
1599	4.752290167
1600	4.752260202
1601	4.752183432
1602	4.752116728
1603	4.752002745
1604	4.751931415
1605	4.751859519
1606	4.751768097
1607	4.751728287
1608	4.751691459
1609	4.751627687
1610	4.751593898
1611	4.751522267
1612	4.751473401
1613	4.751401848
1614	4.751384527
1615	4.751344987
1616	4.751260444
1617	4.751208401
1618	4.751152169
1619	4.751086768
1620	4.751008986
1621	4.750935107
1622	4.750904134
1623	4.750845591
1624	4.750768049
1625	4.750684904
1626	4.750587484
1627	4.750533592
1628	4.750509046
1629	4.750379223
1630	4.75030466
1631	4.750241634
1632	4.750198274
1633	4.750124304
1634	4.75008617
1635	4.750048436
1636	4.749996855
1637	4.749978758
1638	4.7498888
1639	4.749831879
1640	4.74976036
1641	4.749734102
1642	4.749683607
1643	4.749596917
1644	4.74953365
1645	4.7493134
1646	4.749243238
1647	4.7490304
1648	4.748896176
1649	4.748834087
1650	4.748710018
1651	4.748670253
1652	4.748610449
1653	4.748553456
1654	4.748490715
1655	4.748466537
1656	4.748390553
1657	4.74832352
1658	4.748253586
1659	4.748190378
1660	4.748094615
1661	4.748024257
1662	4.747987933
1663	4.747808352
