iter	Passed	Remaining
354	684356	3171171
355	686300	3169322
356	688347	3167942
357	690539	3167222
358	692547	3165657
359	694509	3163874
360	696562	3162508
361	698605	3161092
362	700508	3159043
363	702390	3156896
364	704335	3155036
365	706303	3153279
366	708267	3151501
367	710199	3149580
368	712299	3148401
369	714453	3147455
370	716535	3146189
371	718477	3144303
372	720534	3142921
373	722562	3141408
374	724535	3139653
375	726523	3137961
376	728634	3136799
377	730579	3134919
378	732566	3133218
379	734499	3131285
380	736494	3129617
381	738293	3127115
382	740259	3125326
383	742303	3123862
384	744223	3121870
385	746134	3119849
386	748115	3118116
387	749987	3115927
388	751918	3113987
389	753822	3111933
390	755678	3109684
391	757580	3107625
392	759470	3105517
393	761408	3103609
394	763361	3101758
395	765257	3099679
396	767255	3098010
397	769140	3095886
398	771125	3094164
399	773210	3092840
400	775170	3091014
401	777119	3089146
402	779132	3087531
403	781034	3085474
404	783166	3084321
405	785094	3082364
406	787048	3080512
407	789037	3078792
408	791039	3077125
409	792983	3075226
410	794971	3073504
411	796919	3071621
412	798871	3069754
413	800926	3068282
414	802919	3066570
415	805003	3065204
416	807316	3064704
417	809706	3064488
418	812055	3064104
419	814475	3063977
420	816825	3063581
421	819138	3063034
422	821304	3061933
423	823389	3060524
424	825462	3059066
425	827489	3057438
426	829575	3056025
427	831740	3054897
428	833743	3053171
429	835815	3051697
430	837869	3050157
431	840410	3050379
432	842634	3049442
433	844730	3048036
434	846775	3046443
435	849030	3045603
436	851061	3043956
437	853121	3042409
438	855060	3040432
439	857016	3038511
440	858989	3036654
441	860896	3034563
442	862831	3032568
443	864841	3030842
444	866714	3028631
445	868715	3026870
446	870862	3025615
447	872827	3023723
448	874781	3021794
449	876808	3020119
450	878850	3018492
451	880857	3016740
452	882914	3015164
453	884894	3013320
454	886764	3011100
455	888806	3009467
456	890822	3007743
457	892819	3005956
458	894721	3003845
459	896632	3001769
460	898576	2999803
461	900410	2997470
462	902394	2995637
463	904143	2993026
464	906180	2991371
465	907985	2988949
466	909902	2986897
467	911769	2984682
468	913598	2982342
469	915582	2980513
470	917590	2978760
471	919523	2976762
472	921399	2974580
473	923414	2972848
474	925440	2971151
475	927493	2969539
476	929533	2967881
477	931649	2966466
478	933722	2964908
479	935668	2962951
480	937743	2961396
481	939786	2959741
482	941804	2958007
483	943809	2956228
484	945779	2954341
485	947728	2952387
486	949742	2950636
487	951709	2948738
488	953601	2946609
489	955557	2944676
490	957404	2942408
491	959209	2940015
492	961106	2937904
493	963057	2935961
494	965002	2933996
495	966887	2931851
496	968900	2930095
497	970829	2928085
498	972764	2926090
499	974825	2924477
500	976809	2922628
501	978768	2920708
502	980730	2918793
503	982779	2917140
504	984815	2915444
505	986790	2913566
506	988813	2911831
507	990894	2910265
508	992956	2908640
509	995035	2907064
510	996933	2904958
511	998927	2903131
512	1000930	2901334
513	1002938	2899546
514	1004813	2897374
515	1006747	2895374
516	1008688	2893395
517	1010711	2891649
518	1012589	2889489
519	1014571	2887626
520	1016605	2885911
521	1018480	2883742
522	1020454	2881858
523	1022452	2880038
524	1024345	2877922
525	1026398	2876257
526	1028354	2874319
527	1030283	2872306
528	1032111	2870012
529	1034036	2867987
530	1036211	2866655
531	1038066	2864440
532	1039951	2862305
533	1041874	2860276
534	1043771	2858178
535	1045649	2856028
536	1047509	2853828
537	1049292	2851424
538	1051305	2849641
539	1053207	2847561
540	1055164	2845628
541	1056999	2843368
542	1058890	2841259
543	1060817	2839245
544	1062811	2837413
545	1064720	2835354
546	1066627	2833290
547	1068560	2831294
548	1070541	2829427
549	1072466	2827411
550	1074472	2825609
551	1076468	2823780
552	1078374	2821714
553	1080511	2820250
554	1082485	2818364
555	1084400	2816320
556	1086457	2814646
557	1088355	2812560
558	1090285	2810557
559	1092244	2808629
560	1094198	2806688
561	1096064	2804521
562	1098032	2802615
563	1099792	2800181
564	1101715	2798163
565	1103614	2796082
566	1105525	2794034
567	1107645	2792515
568	1109489	2790298
569	1111426	2788314
570	1113251	2786052
571	1115140	2783951
572	1117009	2781802
573	1119009	2779977
574	1120917	2777926
575	1122764	2775722
576	1124748	2773859
577	1126805	2772174
578	1128679	2770040
579	1130586	2767988
580	1132359	2765606
581	1134258	2763536
582	1136122	2761382
583	1137994	2759245
584	1139794	2756938
585	1141666	2754807
586	1143522	2752636
587	1145357	2750417
588	1147157	2748113
589	1149332	2746708
590	1151555	2745418
591	1153488	2743432
592	1155615	2741907
593	1157749	2740397
594	1159803	2738695
595	1162091	2737543
596	1163958	2735400
597	1166002	2733671
598	1167801	2731367
599	1169761	2729442
600	1171766	2727623
601	1173788	2725840
602	1175672	2723737
603	1177941	2722527
604	1179972	2720762
